model,anchor_idx,direction,mag_cm,anchor_min_v2v_m,denoised_min_v2v_m,a_correction_m,b_motion_from_anchor_m,b_motion_from_perturbed_m,pullback_m,recovery_0.5cm,recovery_1cm,recovery_2cm,recovery_5cm
uncond,46,+x,1,0.004035711754113436,0.014301515184342861,0.03514457121491432,0.050658706575632095,0.0515044666826725,0.007886409759521484,False,False,True,True
uncond,47,+x,1,0.0169980451464653,0.00796269066631794,0.03532387688755989,0.04915972426533699,0.046568863093853,-0.0127469003200531,False,True,True,True
uncond,48,+x,1,0.009775537997484207,0.003612951375544071,0.05113454908132553,0.055997252464294434,0.057741932570934296,0.013870596885681152,True,True,True,True
uncond,49,+x,1,0.010337849147617817,0.003566250205039978,0.04471017047762871,0.04314490407705307,0.044128209352493286,0.007640540599822998,True,True,True,True
uncond,50,+x,1,0.0046088616363704205,0.06535933166742325,0.04856051877140999,0.09379813820123672,0.08751857280731201,-0.05066224932670593,False,False,False,False
uncond,51,+x,1,0.004776366520673037,0.019663173705339432,0.0539676770567894,0.05318056419491768,0.056025147438049316,0.019888311624526978,False,False,True,True
uncond,52,+x,1,0.01261051930487156,0.005354422144591808,0.04959121719002724,0.06525122374296188,0.06302909553050995,-0.009161233901977539,False,True,True,True
uncond,53,+x,1,0.005955229979008436,0.008530959486961365,0.09318757802248001,0.08268777281045914,0.08383062481880188,0.010291606187820435,False,True,True,True
uncond,54,+x,1,0.007020900491625071,0.01144339982420206,0.05093943327665329,0.10605759173631668,0.1011195033788681,-0.04867467284202576,False,False,True,True
uncond,55,+x,1,0.015004224143922329,0.01852414570748806,0.039563342928886414,0.10263554006814957,0.09786362200975418,-0.03743299841880798,False,False,True,True
uncond,56,+x,1,0.009412880055606365,0.005917578004300594,0.07230683416128159,0.049031179398298264,0.04349413514137268,-0.018023401498794556,False,True,True,True
uncond,57,+x,1,0.011260945349931717,0.006829394958913326,0.07705752551555634,0.060968752950429916,0.05843912437558174,-0.006596401333808899,False,True,True,True
uncond,58,+x,1,0.009028458967804909,0.006623369175940752,0.04803268238902092,0.05473475903272629,0.05717124789953232,0.020017147064208984,False,True,True,True
uncond,59,+x,1,0.008143105544149876,0.009499548934400082,0.05345582962036133,0.0431206077337265,0.045371491461992264,0.014772400259971619,False,True,True,True
uncond,60,+x,1,0.016322767361998558,0.005167482886463404,0.08148349076509476,0.05132995545864105,0.05109422653913498,0.002784132957458496,False,True,True,True
uncond,61,+x,1,0.011580606922507286,0.05920548737049103,0.03774651512503624,0.07890892028808594,0.07300834357738495,-0.042204976081848145,False,False,False,False
uncond,62,+x,1,0.011425155214965343,0.012258193455636501,0.04963361844420433,0.038693830370903015,0.03628500923514366,-0.005709290504455566,False,False,True,True
uncond,63,+x,1,0.06744912266731262,0.06002632901072502,0.042666081339120865,0.044324494898319244,0.044406380504369736,0.005939126014709473,False,False,False,False
uncond,64,+x,1,0.007142938673496246,0.06597671657800674,0.04579904302954674,0.10181786119937897,0.09985259175300598,-0.013802170753479004,False,False,False,False
uncond,65,+x,1,0.10640449821949005,0.046386078000068665,0.035488247871398926,0.06889999657869339,0.06997235864400864,0.013188719749450684,False,False,False,True
uncond,66,+x,1,0.007611551322042942,0.022484807297587395,0.046927474439144135,0.05617314577102661,0.05235806480050087,-0.022128582000732422,False,False,False,True
uncond,67,+x,1,0.007673942018300295,0.0661846250295639,0.06467238068580627,0.06342797726392746,0.05610720440745354,-0.03893423080444336,False,False,False,False
uncond,68,+x,1,0.025562584400177002,0.06320224702358246,0.04165395721793175,0.07445637881755829,0.0716499611735344,-0.012468084692955017,False,False,False,False
uncond,69,+x,1,0.009512090124189854,0.01997482217848301,0.04051152616739273,0.07337474822998047,0.08089012652635574,0.06913536041975021,False,False,True,True
uncond,70,+x,1,0.026510344818234444,0.15277507901191711,0.03955608233809471,0.05300655961036682,0.04988684877753258,-0.011384144425392151,False,False,False,False
uncond,71,+x,1,0.013160969130694866,0.06823282688856125,0.08465148508548737,0.06031348928809166,0.06525480002164841,0.034347180277109146,False,False,False,False
uncond,72,+x,1,0.009075991809368134,0.027455780655145645,0.054640356451272964,0.07256286591291428,0.06750544905662537,-0.03252109885215759,False,False,False,True
uncond,73,+x,1,0.014946511946618557,0.05267556756734848,0.06146328151226044,0.05394015461206436,0.05109017714858055,-0.012817800045013428,False,False,False,False
uncond,74,+x,1,0.00438774423673749,0.0170129407197237,0.05247384309768677,0.05322287231683731,0.05305545777082443,0.005525171756744385,False,False,True,True
uncond,75,+x,1,0.016669638454914093,0.010825097560882568,0.08870347589254379,0.06730911880731583,0.06285589933395386,-0.025168418884277344,False,False,True,True
uncond,76,+x,1,0.009801417589187622,0.06463181972503662,0.04451803117990494,0.06384597718715668,0.06517111510038376,0.01499214768409729,False,False,False,False
uncond,77,+x,1,0.0022902421187609434,0.05941702798008919,0.06234820932149887,0.07420360296964645,0.06815354526042938,-0.04286736249923706,False,False,False,False
uncond,78,+x,1,0.0023032180033624172,0.010314760729670525,0.06646553426980972,0.36579424142837524,0.3685658276081085,0.0961163192987442,False,False,True,True
uncond,79,+x,1,0.008906951174139977,0.08461859077215195,0.059504348784685135,0.08963391184806824,0.09124933928251266,0.02156233787536621,False,False,False,False
uncond,80,+x,1,0.009306210093200207,0.05599023401737213,0.0470421127974987,0.03932619467377663,0.04234527796506882,0.02076166868209839,False,False,False,False
uncond,81,+x,1,0.00739709846675396,0.03958015888929367,0.04627249017357826,0.09332309663295746,0.0995403602719307,0.06472557783126831,False,False,False,True
uncond,82,+x,1,0.007054776884615421,0.026687374338507652,0.03040005825459957,0.04463943466544151,0.04540542513132095,0.008735418319702148,False,False,False,True
