source,n_steps,min_v2v_m,contact_dens_5mm,contact_dens_10mm,contact_dens_20mm
chi3d,-1,0.0033829116728156805,1.8209894960818929e-06,9.104947821469977e-06,9.013897943077609e-05
chi3d,-1,0.007697208318859339,0.0,1.8209894960818929e-06,2.003088411584031e-05
chi3d,-1,0.006853353697806597,0.0,9.104947480409464e-07,6.373463293130044e-06
chi3d,-1,0.0021561915054917336,3.6419789921637857e-06,1.0925937203865033e-05,0.00010652788478182629
chi3d,-1,0.005292842630296946,0.0,5.462968601932516e-06,4.643523061531596e-05
chi3d,-1,0.007532836403697729,0.0,6.373463293130044e-06,7.557106437161565e-05
chi3d,-1,0.005213417112827301,0.0,4.552473910734989e-06,4.1882758523570374e-05
chi3d,-1,0.016164986416697502,0.0,0.0,1.8209894960818929e-06
chi3d,-1,0.006991123780608177,0.0,1.8209894960818929e-06,1.7299400496995077e-05
chi3d,-1,0.007429259829223156,0.0,2.731484300966258e-06,1.183643144031521e-05
chi3d,-1,0.006403748411685228,0.0,3.6419789921637857e-06,1.2746926586260088e-05
chi3d,-1,0.012347821146249771,0.0,0.0,1.0925937203865033e-05
chi3d,-1,0.0095308693125844,0.0,1.8209894960818929e-06,1.4567915968655143e-05
chi3d,-1,0.008679877035319805,0.0,9.104947480409464e-07,8.194452675525099e-06
chi3d,-1,0.00316442409530282,9.104947480409464e-07,9.104947480409464e-07,1.0925937203865033e-05
chi3d,-1,0.006827212404459715,0.0,1.8209894960818929e-06,2.2762369553674944e-05
chi3d,-1,0.007058999966830015,0.0,9.104947480409464e-07,2.731484300966258e-06
chi3d,-1,0.007025144062936306,0.0,9.104947480409464e-07,7.2839579843275715e-06
chi3d,-1,0.010869056917726994,0.0,0.0,6.373463293130044e-06
chi3d,-1,0.011145226657390594,0.0,0.0,4.552473910734989e-06
chi3d,-1,0.022706391289830208,0.0,0.0,0.0
chi3d,-1,0.0013810679083690047,2.731484300966258e-06,2.0941379261785187e-05,0.0001666205353103578
chi3d,-1,0.0032754901330918074,1.8209894960818929e-06,2.0941379261785187e-05,0.00013566372217610478
chi3d,-1,0.0032754901330918074,9.104947480409464e-07,1.8209894960818929e-06,3.6419789921637857e-06
chi3d,-1,0.018781380727887154,0.0,0.0,1.8209894960818929e-06
chi3d,-1,0.012802842073142529,0.0,0.0,5.462968601932516e-06
chi3d,-1,0.00562053918838501,0.0,9.104947480409464e-07,1.183643144031521e-05
chi3d,-1,0.005027163308113813,0.0,9.104947480409464e-07,1.8209894960818929e-06
chi3d,-1,0.014143308624625206,0.0,0.0,2.731484300966258e-06
chi3d,-1,0.02426222339272499,0.0,0.0,0.0
chi3d,-1,0.011446003802120686,0.0,0.0,1.8209894960818929e-06
chi3d,-1,0.013033542782068253,0.0,0.0,5.462968601932516e-06
chi3d,-1,0.03960048407316208,0.0,0.0,0.0
chi3d,-1,0.015049838460981846,0.0,0.0,7.2839579843275715e-06
chi3d,-1,0.0037505594082176685,1.8209894960818929e-06,6.373463293130044e-06,4.0972263377625495e-05
chi3d,-1,0.006049566436558962,0.0,9.104947480409464e-07,2.1851874407730065e-05
chi3d,-1,0.006394433788955212,0.0,3.6419789921637857e-06,1.183643144031521e-05
chi3d,-1,0.006440871860831976,0.0,9.104947480409464e-07,1.0015442057920154e-05
